Title,Image,Price
"Antinol Plus for Dogs",//yourpetpa.com.au/cdn/shop/files/DogRange_1080x1080px_Export_{width}x.jpg?v=1709529207,$58.45
"Royal Canin Veterinary Diet Cat Urinary s/o Pouches 12 x 85gm",//yourpetpa.com.au/cdn/shop/products/RoyalCaninVeterinaryDietCatUrinary3_{width}x.png?v=1678749970,$32.50
"Pro Plan Veterinary Diet Fortiflora Dog  30 x 1G Sachet",//yourpetpa.com.au/cdn/shop/files/NEST-38100119315-1_{width}x.jpg?v=1709702370,$40.75
"Oravet Dental Hygiene Chews For Medium Dogs",//yourpetpa.com.au/cdn/shop/products/17_{width}x.png?v=1637798615,$49.99
"Prime100 Kangaroo Fillets Dog Treats",//yourpetpa.com.au/cdn/shop/products/kangarootreats_{width}x.jpg?v=1646351911,$7.50
"Bell and Bone - Collagen Chew Sticks - Beef",//yourpetpa.com.au/cdn/shop/products/B_B_CCCP_main-1_{width}x.jpg?v=1655175049,$12.34
"Laila & Me Dried Australian Chicken Jerky Dog Treat",//yourpetpa.com.au/cdn/shop/products/Laila_MeDriedAustralianChickenJerkyDogTreat80_{width}x.png?v=1674788028,$12.99
"Greenies Cat Treats Dental Salmon 130g",//yourpetpa.com.au/cdn/shop/products/greeniessalmon_{width}x.png?v=1662708727,$14.99
"NexGard Spectra Chewables For Large Dogs Purple 15.1-30kg",//yourpetpa.com.au/cdn/shop/products/nexgard-spectra-x3-retail-pack-shot-front-15.1-30kg-large_1b295024-3628-4dd6-a1f7-bf531e2c816b_{width}x.jpg?v=1667940395,$29.90
"NexGard Spectra Chewables For Medium Dogs Green 7.6-15kg",//yourpetpa.com.au/cdn/shop/products/nexgard-spectra-x3-retail-pack-shot-angle-7.6-15kg-medium_18ce9166-feb4-4aca-b8be-463ab9a26d1d_{width}x.jpg?v=1667940631,$27.90
"NexGard Spectra Chewables For Small Dogs Yellow 3.6 -7.5kg",//yourpetpa.com.au/cdn/shop/products/nexgard-spectra-x3-retail-pack-shot-angle-3.6-7.5kg-small_1_db43354d-37b6-410a-a02c-f9d7260f6481_{width}x.jpg?v=1667940766,$18.99
"NexGard Spectra Chewables For Very Large Dogs Red 30.1-60kg",//yourpetpa.com.au/cdn/shop/products/nexgard-spectra-x3-retail-pack-shot-angle-30.1-60kg-xlarge_ed6d949c-ebec-4f4c-bc6b-c9b88e35ad6f_{width}x.jpg?v=1667940000,$24.50
"NexGard Spectra Chewables For Very Small Dogs Orange 2-3.5kg",//yourpetpa.com.au/cdn/shop/products/nexgard-spectra-x3-retail-pack-shot-angle-2-3.5kg-xsmall_4b4674d2-d5e8-4abc-a8e4-83bff8cb1540_{width}x.jpg?v=1667940910,$18.50
